"","group","rmse_mean","rmse_sd","iteration_times"
"5","missForest",0.48777642382854,0.224465958352941,1000
"2","imputePCA",0.557018960422327,0.218142073726426,1000
"1","impDi",0.611787830587689,0.247048365948789,1000
"6","softImpute",0.677923969483565,0.30395144255662,1000
"4","mice",0.712961304140591,0.310952290223676,1000
"3","kNNimpute",0.809403867598076,0.29409396157243,1000
