"","iteration_num","imputation_method","rmse","rsquare","imputation_duration"
"1","1","impDi","0.860859693621011","0.939240790218719","4.97094798088074"
"2","1","softImpute","0.767117393965786","0.958113634773381","0.00349688529968262"
"3","1","mice","0.803316907779926","0.946127022205773","0.426836967468262"
"4","1","imputePCA","0.70647113066415","0.948596981007959","0.044201135635376"
"5","1","kNNimpute","0.751877044874923","0.92325101885242","0.00122594833374023"
"6","1","missForest","0.62644869331659","0.950653124299843","0.0590310096740723"
"7","2","impDi","0.615832334676254","0.956027070997364","3.79092192649841"
"8","2","softImpute","0.654312550428936","0.94345178576975","0.0022430419921875"
"9","2","mice","0.826145641549491","0.850409730695109","0.306219100952148"
"10","2","imputePCA","0.650285417473758","0.948609957627864","0.0374991893768311"
"11","2","kNNimpute","0.870506578091373","0.92278170273919","0.00106310844421387"
"12","2","missForest","0.653218932766638","0.939287814536659","0.0436990261077881"
"13","3","impDi","0.598872271626918","0.529896478051151","2.9699559211731"
"14","3","softImpute","0.549005203710701","0.814183005398105","0.00191307067871094"
"15","3","mice","0.504830353756402","0.661009775933589","0.301647901535034"
"16","3","imputePCA","0.349498480393192","0.871048498786012","0.020305871963501"
"17","3","kNNimpute","0.544727828444979","0.87289854806677","0.000664949417114258"
"18","3","missForest","0.398776812575396","0.830260059893286","0.0435810089111328"
"19","4","impDi","1.09557799857514","0.217751598657775","3.91710186004639"
"20","4","softImpute","0.835405422699066","0.630450620909091","0.00308585166931152"
"21","4","mice","0.772719089770706","0.172760087891002","0.338974952697754"
"22","4","imputePCA","0.746543841472865","0.609060752406662","0.0819201469421387"
"23","4","kNNimpute","0.685044342460343","0.21961074276113","0.000782966613769531"
"24","4","missForest","0.677501129468459","0.526938991562144","0.0479559898376465"
"25","5","impDi","0.430813581239596","0.888518532055119","3.35923504829407"
"26","5","softImpute","0.491451404239696","0.793832993268951","0.0041811466217041"
"27","5","mice","0.470819021035733","0.962486947718276","0.327866077423096"
"28","5","imputePCA","0.479414701147011","0.811494133020529","0.0414490699768066"
"29","5","kNNimpute","0.413710210820542","0.864103571290661","0.000624895095825195"
"30","5","missForest","0.355298864841496","0.895331127683333","0.0388519763946533"
"31","6","impDi","0.767439486045404","0.676542985213351","3.44602799415588"
"32","6","softImpute","2.56866675750732","0.146614626491597","0.0100209712982178"
"33","6","mice","0.878985219197334","0.659316617822488","0.290369033813477"
"34","6","imputePCA","0.921790700841118","0.723810637219056","0.022258996963501"
"35","6","kNNimpute","0.627686231091633","0.70833844982287","0.000653982162475586"
"36","6","missForest","0.851923491281577","0.768138743297907","0.0501999855041504"
"37","7","impDi","0.764625680420286","0.555192992267803","3.357008934021"
"38","7","softImpute","0.557150558594081","0.667496767970872","0.00198507308959961"
"39","7","mice","0.47565693782858","0.766435431558516","0.319828987121582"
"40","7","imputePCA","0.720932029897364","0.542873478908322","0.0433478355407715"
"41","7","kNNimpute","0.757578937354593","0.471206337463274","0.000626087188720703"
"42","7","missForest","0.379226086139274","0.900438943456254","0.0545368194580078"
"43","8","impDi","0.568996635462636","0.947026921675943","3.26554012298584"
"44","8","softImpute","0.654460410095578","0.898034045303428","0.0019989013671875"
"45","8","mice","0.57253241846998","0.940530611169019","0.297128915786743"
"46","8","imputePCA","0.552001369285104","0.951109944740732","0.0456540584564209"
"47","8","kNNimpute","1.0958909502629","0.814752147017113","0.000723838806152344"
"48","8","missForest",NA,NA,"0.0486619472503662"
"49","9","impDi","0.402314763759405","0.784529724999222","3.2776939868927"
